0.000	0
0.103	1
0.206	0
0.308	0
0.411	1
0.514	1
0.617	3
0.720	14
0.823	34
0.925	46
1.028	68
1.131	78
1.234	93
1.337	95
1.440	82
1.542	101
1.645	90
1.748	94
1.851	86
1.954	90
2.057	95
2.159	93
2.262	92
2.365	89
2.468	91
2.571	91
2.674	90
2.776	92
2.879	86
2.982	78
3.085	78
3.188	87
3.290	88
3.393	92
3.496	82
3.599	86
3.702	77
3.805	81
3.907	109
4.010	86
4.113	80
4.216	96
4.319	87
4.422	85
4.524	101
4.627	106
4.730	106
4.833	86
4.936	100
5.039	93
5.141	108
5.244	83
5.347	78
5.450	108
5.553	68
5.656	78
5.758	58
5.861	78
5.964	52
6.067	55
6.170	67
6.272	64
6.375	72
6.478	46
6.581	50
6.684	37
6.787	46
6.889	43
6.992	51
7.095	57
7.198	58
7.301	64
7.404	45
7.506	50
7.609	68
7.712	50
7.815	41
7.918	61
8.021	44
8.123	61
8.226	56
8.329	44
8.432	44
8.535	56
8.638	37
8.740	48
8.843	54
8.946	48
9.049	52
9.152	52
9.254	48
9.357	49
9.460	75
9.563	65
9.666	59
9.769	46
9.871	43
9.974	44
10.077	49
10.180	47
10.283	58
10.386	50
10.488	42
10.591	42
10.694	44
10.797	46
10.900	51
11.003	44
11.105	48
11.208	51
11.311	41
11.414	39
11.517	35
11.620	43
11.722	36
11.825	30
11.928	46
12.031	30
12.134	35
12.237	46
12.339	59
12.442	55
12.545	76
12.648	90
12.751	105
12.853	200
12.956	222
13.059	225
13.162	105
13.265	80
13.368	60
13.470	61
13.573	34
13.676	33
13.779	35
13.882	36
13.985	33
14.087	68
14.190	88
14.293	182
14.396	283
14.499	329
14.602	180
14.704	89
14.807	38
14.910	39
15.013	36
15.116	54
15.219	29
15.321	22
15.424	19
15.527	27
15.630	23
15.733	20
15.835	28
15.938	21
16.041	22
16.144	14
16.247	15
16.350	17
16.452	18
16.555	22
16.658	30
16.761	19
16.864	23
16.967	19
17.069	18
17.172	21
17.275	19
17.378	21
17.481	18
17.584	21
17.686	22
17.789	16
17.892	20
17.995	31
18.098	46
18.201	109
18.303	138
18.406	149
18.509	87
18.612	56
18.715	28
18.817	21
18.920	22
19.023	20
19.126	27
19.229	27
19.332	25
19.434	27
19.537	26
19.640	24
19.743	25
19.846	20
19.949	15
20.051	33
20.154	24
20.257	57
20.360	143
20.463	189
20.566	172
20.668	121
20.771	67
20.874	33
20.977	23
21.080	19
21.183	14
21.285	23
21.388	16
21.491	17
21.594	22
21.697	18
21.799	22
21.902	17
22.005	19
22.108	20
22.211	25
22.314	36
22.416	55
22.519	50
22.622	49
22.725	35
22.828	22
22.931	17
23.033	22
23.136	19
23.239	17
23.342	16
23.445	22
23.548	17
23.650	21
23.753	16
23.856	21
23.959	14
24.062	30
24.165	27
24.267	31
24.370	26
24.473	25
24.576	18
24.679	14
24.781	20
24.884	36
24.987	47
25.090	62
25.193	73
25.296	52
25.398	34
25.501	26
25.604	25
25.707	26
25.810	21
25.913	40
26.015	34
26.118	31
26.221	39
26.324	20
26.427	26
26.530	15
26.632	19
26.735	23
26.838	23
26.941	22
27.044	22
27.147	24
27.249	19
27.352	16
27.455	13
27.558	10
27.661	29
27.763	24
27.866	18
27.969	25
28.072	24
28.175	19
28.278	13
28.380	18
28.483	21
28.586	21
28.689	16
28.792	18
28.895	30
28.997	49
29.100	81
29.203	72
29.306	64
29.409	51
29.512	18
29.614	20
29.717	24
29.820	17
29.923	21
30.026	21
30.129	30
30.231	16
30.334	20
30.437	20
30.540	18
30.643	11
30.746	24
30.848	14
30.951	15
31.054	23
31.157	22
31.260	17
31.362	23
31.465	28
31.568	14
31.671	23
31.774	26
31.877	33
31.979	43
32.082	45
32.185	51
32.288	27
32.391	31
32.494	39
32.596	66
32.699	80
32.802	54
32.905	37
33.008	23
33.111	22
33.213	12
33.316	17
33.419	23
33.522	23
33.625	24
33.728	20
33.830	19
33.933	20
34.036	18
34.139	19
34.242	16
34.344	19
34.447	22
34.550	11
34.653	17
34.756	17
34.859	17
34.961	22
35.064	10
35.167	17
35.270	23
35.373	17
35.476	17
35.578	18
35.681	25
35.784	38
35.887	46
35.990	41
36.093	27
36.195	27
36.298	19
36.401	16
36.504	16
36.607	15
36.710	9
36.812	18
36.915	16
37.018	21
37.121	32
37.224	23
37.326	16
37.429	14
37.532	22
37.635	9
37.738	10
37.841	14
37.943	20
38.046	10
38.149	12
38.252	16
38.355	15
38.458	17
38.560	6
38.663	13
38.766	8
38.869	14
38.972	15
39.075	13
39.177	12
39.280	13
39.383	24
39.486	31
39.589	27
39.692	22
39.794	20
39.897	20
40.000	18
